[watts] 3.4, [volts] 123.0, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 175.8, [mo. cost] 14.0, [max watts] 3.4, [max volts] 123.3, [max amps] 0.073, [min watts] 3.2, [min volts] 122.9, [min amps] 0.071, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.5, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 177.1, [mo. cost] 14.1, [max watts] 3.5, [max volts] 123.4, [max amps] 0.072, [min watts] 3.4, [min volts] 123.0, [min amps] 0.070, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.7, [volts] 123.3, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 181.1, [mo. cost] 14.4, [max watts] 3.7, [max volts] 123.3, [max amps] 0.075, [min watts] 3.6, [min volts] 123.1, [min amps] 0.070, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.9, [volts] 123.2, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 183.0, [mo. cost] 14.6, [max watts] 3.9, [max volts] 123.3, [max amps] 0.073, [min watts] 3.7, [min volts] 122.9, [min amps] 0.070, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.9, [volts] 123.4, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 184.3, [mo. cost] 14.7, [max watts] 3.9, [max volts] 123.4, [max amps] 0.073, [min watts] 3.9, [min volts] 123.0, [min amps] 0.070, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.0, [volts] 123.2, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 186.0, [mo. cost] 14.8, [max watts] 4.0, [max volts] 123.4, [max amps] 0.072, [min watts] 3.9, [min volts] 123.0, [min amps] 0.071, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.0, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 186.8, [mo. cost] 14.9, [max watts] 4.0, [max volts] 123.2, [max amps] 0.072, [min watts] 4.0, [min volts] 123.0, [min amps] 0.070, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.1, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 188.0, [mo. cost] 15.0, [max watts] 4.1, [max volts] 123.3, [max amps] 0.071, [min watts] 4.0, [min volts] 123.0, [min amps] 0.070, [power factor] 45.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.1, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 189.1, [mo. cost] 15.1, [max watts] 4.1, [max volts] 123.2, [max amps] 0.071, [min watts] 4.1, [min volts] 123.0, [min amps] 0.070, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.2, [volts] 123.2, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 190.4, [mo. cost] 15.2, [max watts] 4.2, [max volts] 123.2, [max amps] 0.072, [min watts] 4.1, [min volts] 123.0, [min amps] 0.070, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
