[watts] 3.9, [volts] 123.0, [amps] 0.065, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 238.0, [mo. cost] 19.0, [max watts] 4.2, [max volts] 123.0, [max amps] 0.065, [min watts] 3.9, [min volts] 122.8, [min amps] 0.063, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 3.6, [volts] 123.0, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 234.8, [mo. cost] 18.7, [max watts] 3.9, [max volts] 123.0, [max amps] 0.065, [min watts] 3.6, [min volts] 122.8, [min amps] 0.063, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 8.3
[watts] 3.4, [volts] 123.0, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 231.6, [mo. cost] 18.5, [max watts] 3.6, [max volts] 123.0, [max amps] 0.064, [min watts] 3.4, [min volts] 122.8, [min amps] 0.063, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 8.3
[watts] 3.2, [volts] 122.9, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 228.4, [mo. cost] 18.2, [max watts] 3.4, [max volts] 123.0, [max amps] 0.064, [min watts] 3.2, [min volts] 122.8, [min amps] 0.063, [power factor] 38.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 3.0, [volts] 122.9, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 225.8, [mo. cost] 18.0, [max watts] 3.2, [max volts] 123.0, [max amps] 0.064, [min watts] 3.0, [min volts] 122.7, [min amps] 0.063, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 8.3
[watts] 2.9, [volts] 122.9, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 223.0, [mo. cost] 17.8, [max watts] 3.0, [max volts] 123.0, [max amps] 0.065, [min watts] 2.9, [min volts] 122.8, [min amps] 0.063, [power factor] 34.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 2.8, [volts] 122.8, [amps] 0.066, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 220.1, [mo. cost] 17.6, [max watts] 2.9, [max volts] 123.0, [max amps] 0.067, [min watts] 2.8, [min volts] 122.8, [min amps] 0.063, [power factor] 32.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 2.6, [volts] 122.9, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 217.5, [mo. cost] 17.4, [max watts] 2.8, [max volts] 123.0, [max amps] 0.066, [min watts] 2.6, [min volts] 122.8, [min amps] 0.063, [power factor] 31.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 2.6, [volts] 123.0, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 216.0, [mo. cost] 17.2, [max watts] 2.6, [max volts] 123.0, [max amps] 0.072, [min watts] 2.6, [min volts] 122.8, [min amps] 0.063, [power factor] 31.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 2.9, [volts] 122.9, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 216.6, [mo. cost] 17.3, [max watts] 2.9, [max volts] 123.0, [max amps] 0.074, [min watts] 2.6, [min volts] 122.8, [min amps] 0.071, [power factor] 30.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
