Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:35  20.4   0.0  10.3  69.3   0.0    3   3020   2678   0.00E
13:47:36  23.6   0.0  19.8  56.6   0.0    3   4104   3902   0.00E
13:47:36  20.8   0.0  11.1  68.1   0.0    4   7926   6910   0.00E
13:47:37  26.3   0.0  19.2  54.4   0.0    4   5878   5348   0.00E
13:47:37  22.2   0.0  10.9  66.9   0.0    4   6484   6116   0.00E
13:47:38  26.1   0.0  19.0  54.8   0.0    4   6324   7216   0.00E
13:47:38  21.1   0.0  10.4  68.3   0.3    4   5602   7626   0.00E
13:47:39  27.6   0.0  20.5  51.9   0.0    4   8918   8638   0.00E
13:47:39  20.8   0.0  11.2  68.0   0.0    3   6536   7998   0.00E
13:47:40  27.8   0.0  19.7  52.3   0.3    5   6388   8238   0.00E
13:47:40  20.7   0.0  10.7  68.6   0.0    4   4182   3930   0.00E
13:47:41  28.2   0.0  18.9  52.9   0.0    4   5902   7424   0.00E
13:47:41  22.4   0.0  10.9  66.7   0.0    4   7244   3454   0.00E
13:47:42  28.0   0.0  18.4  53.7   0.0    3   4096   4384   0.00E
13:47:42  20.9   0.0  10.7  68.4   0.0    6   4284   4588   0.00E
13:47:43  25.0   0.0  19.4  55.6   0.0    2   6062   6890   0.00E
13:47:43  22.6   0.0  13.3  63.8   0.3    6   3480   2824   0.00E
13:47:44  23.7   0.0  15.2  61.1   0.0    3   3318   2838   0.00E
13:47:44  24.1   0.0  16.5  59.5   0.0    6   3816   4400   0.00E
13:47:45  22.4   0.0  13.5  64.1   0.0    5   4960   6540   0.00E
13:47:45  26.3   0.0  17.9  55.6   0.3    4   4804   6160   0.00E
13:47:46  20.6   0.0  11.5  67.9   0.0    4   3364   2760   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:46  26.8   0.0  18.3  54.6   0.3    4   3558   3010   0.00E
13:47:47  23.0   0.0   9.6  67.3   0.0    3   3542   2830   0.00E
13:47:47  25.4   0.0  19.9  54.7   0.0    4   3978   3142   0.00E
13:47:48  20.3   0.0  10.7  69.0   0.0    5   4252   4762   0.00E
13:47:48  26.8   0.0  19.9  53.3   0.0    3   5118   7780   0.00E
13:47:49  20.3   0.0  10.2  69.5   0.0    4   3648   5536   0.00E
13:47:49  26.4   0.0  17.9  55.4   0.3    3   3742   6836   0.00E
13:47:50  21.8   0.0   9.1  69.0   0.0    3   4158   5954   0.00E
13:47:50  25.6   0.0  20.6  53.6   0.3    3   3384   2858   0.00E
13:47:51  18.6   0.0  12.3  69.0   0.0    4   3078   2800   0.00E
13:47:51  26.9   0.0  19.1  54.0   0.0    4   5326   7232   0.00E
13:47:52  21.0   0.0   9.8  68.9   0.3    4   3942   4516   0.00E
13:47:52  28.0   0.0  18.2  53.8   0.0    3   5942   5912   0.00E
13:47:53  21.2   0.0  11.9  66.9   0.0   10   4856   6490   0.00E
13:47:53  26.3   0.0  16.7  57.1   0.0    2   6638   6870   0.00E
13:47:54  27.8   0.0  15.2  57.0   0.0    7   9780   7770   0.00E
13:47:54  24.9   0.0  17.0  57.9   0.3    3  10536   8070   0.00E
13:47:55  28.4   0.0  17.5  54.1   0.0    6  10412   9338   0.00E
13:47:55  23.1   0.0  11.5  65.1   0.3    3   5450   8140   0.00E
13:47:56  43.0   0.0  19.2  37.9   0.0    7  14348   8396   0.00E
13:47:56  35.4   0.0  14.4  50.1   0.0    5  14390  12228   0.00E
13:47:57  32.8   0.0  18.7  48.5   0.0    5   9776   9168   0.00E
13:47:57  43.3   0.0  12.7  44.0   0.0    6   8292   7140   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:58  30.1   0.0  18.9  50.8   0.3    5   5794   5124   0.00E
13:47:58  21.6   0.0  10.6  67.8   0.0    6   6492   6550   0.00E
13:47:59  28.3   0.0  21.7  48.0   2.0    4  10996   9528   0.00E
13:47:59  24.6   0.0  11.3  63.9   0.3    5  11900   9612   0.00E
13:48:00  34.5   0.0  20.4  45.1   0.0    4  10992   6900   0.00E
13:48:00  21.9   0.0   9.1  69.0   0.0    4   5692   3346   0.00E
13:48:01  26.9   0.0  20.8  52.3   0.0    4   7308   8484   0.00E
13:48:01  19.2   0.0  13.1  67.4   0.3    4   4316   3218   0.00E
13:48:02  27.5   0.0  17.6  54.9   0.0    4   3560   3008   0.00E
13:48:02  27.6   0.0  10.5  61.9   0.0    3   9012   3608   0.00E
13:48:03  25.9   0.0  19.4  54.7   0.0    4   4098   3228   0.00E
13:48:03  21.5   0.0  10.9  67.6   0.0    5   3284   2724   0.00E
13:48:04  26.3   0.0  17.2  56.3   0.3    2   3610   2928   0.00E
13:48:04  24.0   0.0  12.5  63.5   0.0    6   3092   2716   0.00E
13:48:05  24.0   0.0  15.4  60.6   0.0    2   3338   2770   0.00E
13:48:05  24.4   0.0  15.7  59.7   0.2    6   3486   2814   0.00E
13:48:06  23.2   0.0  12.8  64.0   0.0    3   4162   3112   0.00E
13:48:06  24.1   0.0  18.6  57.0   0.3    3   3388   2766   0.00E
13:48:07  21.9   0.0  11.3  66.8   0.0    4   3218   2744   0.00E
13:48:07  25.1   0.0  18.1  56.8   0.0    5   3656   2888   0.00E
13:48:08  21.3   0.0  10.6  68.1   0.0    3   3904   2902   0.00E
13:48:08  26.4   0.0  18.6  54.9   0.0    5   2810   2696   0.00E
13:48:09  19.6   0.0  10.7  69.4   0.3    4   3558   2724   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:48:09  26.1   0.0  19.8  54.1   0.0    5   3080   2732   0.00E
13:48:10  21.4   0.0   9.3  69.3   0.0    5   3182   2498   0.00E
13:48:10  26.8   0.0  19.2  54.0   0.0    3   3016   2596   0.00E
13:48:11  18.9   0.0  10.6  70.5   0.0    4   2830   2394   0.00E
13:48:11  25.1   0.0  19.5  55.4   0.0    3   2872   2742   0.00E
13:48:12  22.4   0.0  12.0  65.6   0.0    3   3090   2704   0.00E
13:48:12  26.6   0.0  16.7  56.7   0.0    4   3010   2642   0.00E
13:48:13  21.2   0.0  10.2  68.3   0.2    3   2868   2646   0.00E
13:48:13  24.7   0.0  20.5  54.8   0.0    5   3916   3288   0.00E
13:48:14  22.2   0.0  11.6  66.2   0.0    5   4434   2982   0.00E
13:48:14  25.4   0.0  16.6  58.0   0.0    2   2804   2642   0.00E
13:48:15  23.0   0.0  13.2  63.8   0.0    6   3054   2576   0.00E
13:48:15  23.4   0.0  13.9  62.7   0.0    2   2600   2638   0.00E
13:48:16  24.8   0.0  15.5  59.6   0.0    5   2992   2698   0.00E
13:48:16  21.4   0.0  13.0  65.3   0.2    3   2720   2366   0.00E
13:48:17  25.9   0.0  16.1  57.9   0.0    4   2818   2694   0.00E
13:48:17  21.7   0.0  10.9  67.2   0.3    4   2944   2454   0.00E
13:48:18  25.7   0.0  18.9  55.4   0.0    5   4104   3080   0.00E
13:48:18  20.3   0.0  10.4  69.4   0.0    6   3026   2466   0.00E
13:48:19  28.1   0.0  19.2  52.7   0.0    4   3316   2956   0.00E
13:48:19  20.0   0.0   9.6  70.4   0.0    4   2884   2472   0.00E
13:48:20  26.3   0.0  20.5  53.3   0.0    5   3202   2756   0.00E
13:48:20  20.0   0.0  10.0  70.0   0.0    7   2722   2410   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:48:21  27.3   0.0  18.8  53.6   0.3    3   3110   2894   0.00E
13:48:21  21.5   0.0  10.2  68.2   0.0    5   2992   2560   0.00E
13:48:22  25.9   0.0  17.8  56.3   0.0    6   2722   2738   0.00E
13:48:22  10.4   0.0   9.6  79.9   0.0    2   2724   2372   0.00E
13:48:23  13.3   0.0  18.6  68.1   0.0    7   3272   2762   0.00E
13:48:23   8.0   0.0  10.2  81.8   0.0    4   2660   2214   0.00E
13:48:24  12.3   0.0  19.4  68.3   0.0    1   3032   2650   0.00E
13:48:24   9.1   0.0  10.8  80.1   0.0    4   2612   2148   0.00E
13:48:25  10.7   0.0  17.8  71.6   0.0    2   2924   2668   0.00E
13:48:25  10.9   0.0  13.6  75.5   0.0    5   3114   2394   0.00E
13:48:26  14.0   0.0  13.8  72.2   0.0    9   3908   4596   0.00E
13:48:26  13.4   0.0  16.4  70.3   0.0    5   2808   2958   0.00E
13:48:27   9.8   0.0  12.9  77.3   0.0    2   3256   2524   0.00E
13:48:27  12.6   0.0  16.9  70.5   0.0    3   3632   3432   0.00E
13:48:28  10.4   0.0  12.4  77.3   0.0    2   4452   3004   0.00E
13:48:28  14.2   0.0  18.0  67.6   0.3    4   3118   2988   0.00E
13:48:29   7.1   0.0  10.7  82.2   0.0    3   3294   2404   0.00E
13:48:29  13.7   0.0  20.7  65.6   0.0    3   3284   2672   0.00E
13:48:30   7.1   0.0  10.4  82.2   0.3    3   4220   2696   0.00E
13:48:30  24.4   0.0  19.1  56.5   0.0    5   3420   2732   0.00E
13:48:31  20.4   0.0   9.5  70.1   0.0    5   3258   2502   0.00E
13:48:31  25.2   0.0  19.6  55.2   0.0    3   3392   2900   0.00E
13:48:32  22.0   0.0   9.3  68.7   0.0    8   3450   2698   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:48:32  25.0   0.0  18.7  56.3   0.0    5   3178   2610   0.00E
13:48:33  19.4   0.0  12.1  68.5   0.0    4   2740   2508   0.00E
13:48:33  25.0   0.0  18.8  56.0   0.2    4   2846   2670   0.00E
13:48:34  21.5   0.0  10.1  68.4   0.0    5   3520   2774   0.00E
13:48:34  26.4   0.0  17.4  56.2   0.0    2   3422   2758   0.00E
13:48:35  21.0   0.0  12.6  66.4   0.0    5   3224   2534   0.00E
13:48:35  24.5   0.0  16.5  59.0   0.0    6   3358   2726   0.00E
13:48:36  23.5   0.0  13.9  62.4   0.3    6   3376   2806   0.00E
13:48:36  21.9   0.0  14.8  63.3   0.0    3   2680   2386   0.00E
13:48:37  24.8   0.0  15.9  59.2   0.0    5   2734   2706   0.00E
13:48:37  21.0   0.0  13.0  66.0   0.0    5   2700   2366   0.00E
13:48:38  25.0   0.0  17.9  57.1   0.0    6   3504   2998   0.00E
13:48:38  20.8   0.0  11.3  67.9   0.0    3   3002   2442   0.00E
13:48:39  26.4   0.0  19.6  53.9   0.0    5   3054   2876   0.00E
13:48:39  19.4   0.0   9.8  70.8   0.0    5   2910   2352   0.00E
13:48:40  17.6   0.0  19.1  63.2   0.0    3   2944   2604   0.00E
13:48:40   8.6   0.0   9.1  82.4   0.0    5   2534   2168   0.00E
13:48:41  14.4   0.0  19.9  65.7   0.0    4   2990   2904   0.00E
13:48:41  16.4   0.0  10.3  73.3   0.0    4   2690   2326   0.00E
13:48:42  24.3   0.0  18.5  57.0   0.3    3   3442   2964   0.00E
